1,Princeton,53890 ,5422
2,Harvard,54002 ,6755
3,Columbia,64380 ,6245
4,MIT,53818 ,4530
5,Yale,57700 ,6092
6,Standford,56169 ,6996
7,Chicago,59298 ,6734
8,Penn,60042 ,10019
9,Cal Tech,56862 ,938
9,Johns Hopkins,57010 ,6256
9,Northwestern,58701 ,8327
12,Duke,60488 ,6649
13,Dartmouth,59458 ,4459
14,Brown,60696 ,7160
14,Vanderbilt,54158 ,6886
16,Rice,51107 ,3989
16,Wash U,57386 ,7822
18,Cornell,59316 ,15043
19,Notre Dame,57699 ,8731
20,UCLA,42980 ,31543
